line_number,covered
217,True
213,True
211,False
133,False
132,False
344,False
345,False
283,False
348,False
349,False
286,True
261,True
123,False
267,True
264,True
268,True
55,False
54,False
379,True
378,True
371,True
297,True
373,True
372,True
375,True
293,False
291,False
115,True
114,True
88,True
273,True
277,True
278,True
279,True
143,True
362,True
360,True
361,True
309,True
300,True
301,True
305,False
306,False
380,True
244,True
382,True
383,True
387,True
105,True
245,True
292,False
247,True
246,True
335,False
334,False
331,False
330,False
63,True
64,True
178,True
177,True
176,True
250,True
174,True
173,True
181,True
225,True
97,False
272,True
155,True
154,True
157,True
156,True
233,True
320,False
200,True
203,True
202,True
204,True
206,False
209,False
208,False
77,True
76,True
75,True
78,True
